GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
node=470/7814 op=addp seconds=33.9546 eta_seconds=530.558 bootstraps=16
node=480/7814 op=cheb seconds=35.6528 eta_seconds=544.744 bootstraps=18
node=490/7814 op=gather seconds=36.238 eta_seconds=541.647 bootstraps=18
node=500/7814 op=mulp seconds=36.3347 eta_seconds=531.504 bootstraps=18
node=510/7814 op=mulp seconds=36.9094 eta_seconds=528.601 bootstraps=18
node=520/7814 op=cheb seconds=38.81 eta_seconds=544.385 bootstraps=20
node=530/7814 op=addp seconds=39.1518 eta_seconds=538.078 bootstraps=20
node=540/7814 op=mul seconds=39.3918 eta_seconds=530.622 bootstraps=20
node=550/7814 op=mul seconds=39.7549 eta_seconds=525.054 bootstraps=20
node=560/7814 op=mulp seconds=40.2337 eta_seconds=521.17 bootstraps=20
node=570/7814 op=addp seconds=40.7844 eta_seconds=518.32 bootstraps=20
node=580/7814 op=mulp seconds=40.8701 eta_seconds=509.748 bootstraps=20
node=590/7814 op=add seconds=42.8688 eta_seconds=524.889 bootstraps=22
node=600/7814 op=mul seconds=43.4311 eta_seconds=522.186 bootstraps=22
node=610/7814 op=repeat seconds=44.786 eta_seconds=528.916 bootstraps=22
node=620/7814 op=cheb seconds=45.1753 eta_seconds=524.18 bootstraps=22
node=630/7814 op=mul seconds=45.4678 eta_seconds=518.477 bootstraps=22
node=640/7814 op=gather seconds=45.8326 eta_seconds=513.754 bootstraps=22
node=650/7814 op=mulp seconds=45.9995 eta_seconds=506.985 bootstraps=22
node=660/7814 op=gather seconds=48.0387 eta_seconds=520.71 bootstraps=24
node=670/7814 op=add seconds=48.6522 eta_seconds=518.763 bootstraps=24
node=680/7814 op=mul seconds=49.0134 eta_seconds=514.208 bootstraps=24
node=690/7814 op=add seconds=49.5411 eta_seconds=511.494 bootstraps=24
node=700/7814 op=sum seconds=50.984 eta_seconds=518.143 bootstraps=26
node=710/7814 op=gather seconds=51.6323 eta_seconds=516.614 bootstraps=26
node=720/7814 op=gather seconds=53.0793 eta_seconds=522.979 bootstraps=28
node=730/7814 op=sum seconds=53.1399 eta_seconds=515.676 bootstraps=28
node=740/7814 op=sum seconds=53.6691 eta_seconds=513.048 bootstraps=28
node=750/7814 op=add seconds=55.4486 eta_seconds=522.252 bootstraps=30
node=760/7814 op=mulp seconds=55.8164 eta_seconds=518.064 bootstraps=30
node=770/7814 op=add seconds=56.0814 eta_seconds=513.036 bootstraps=30
node=780/7814 op=mulp seconds=56.4645 eta_seconds=509.194 bootstraps=30
node=790/7814 op=repeat seconds=56.9451 eta_seconds=506.307 bootstraps=30
node=800/7814 op=gather seconds=57.3644 eta_seconds=502.942 bootstraps=30
node=810/7814 op=addp seconds=57.415 eta_seconds=496.462 bootstraps=30
node=820/7814 op=scatter seconds=59.4338 eta_seconds=506.927 bootstraps=32
node=830/7814 op=cheb seconds=60.255 eta_seconds=507.013 bootstraps=32
node=840/7814 op=cheb seconds=60.7727 eta_seconds=504.558 bootstraps=32
node=850/7814 op=repeat seconds=61.0991 eta_seconds=500.582 bootstraps=32
node=860/7814 op=mul seconds=61.3454 eta_seconds=496.041 bootstraps=32
node=870/7814 op=add seconds=61.7289 eta_seconds=492.696 bootstraps=32
node=880/7814 op=mul seconds=61.9157 eta_seconds=487.867 bootstraps=32
node=890/7814 op=addp seconds=63.537 eta_seconds=494.304 bootstraps=34
node=900/7814 op=add seconds=64.1351 eta_seconds=492.7 bootstraps=34
node=910/7814 op=repeat seconds=64.4956 eta_seconds=489.316 bootstraps=34
node=920/7814 op=gather seconds=65.8984 eta_seconds=493.808 bootstraps=36
node=930/7814 op=linear seconds=67.7791 eta_seconds=501.711 bootstraps=38
node=940/7814 op=mulp seconds=67.9961 eta_seconds=497.239 bootstraps=38
node=950/7814 op=gather seconds=69.8024 eta_seconds=504.341 bootstraps=40
node=960/7814 op=addp seconds=69.8594 eta_seconds=498.767 bootstraps=40
node=970/7814 op=mul seconds=70.3722 eta_seconds=496.523 bootstraps=40
node=980/7814 op=mul seconds=72.2903 eta_seconds=504.114 bootstraps=42
node=990/7814 op=repeat seconds=72.7581 eta_seconds=501.517 bootstraps=42
node=1000/7814 op=mul seconds=73.0131 eta_seconds=497.511 bootstraps=42
node=1010/7814 op=cheb seconds=73.6541 eta_seconds=496.181 bootstraps=42
node=1020/7814 op=gather seconds=74.2346 eta_seconds=494.46 bootstraps=42
node=1030/7814 op=sum seconds=74.2962 eta_seconds=489.345 bootstraps=42
node=1040/7814 op=scatter seconds=75.8321 eta_seconds=493.93 bootstraps=44
node=1050/7814 op=scatter seconds=76.1181 eta_seconds=490.346 bootstraps=44
node=1060/7814 op=mul seconds=76.4658 eta_seconds=487.217 bootstraps=44
node=1070/7814 op=cheb seconds=79.0259 eta_seconds=498.085 bootstraps=46
node=1080/7814 op=cheb seconds=79.9221 eta_seconds=498.329 bootstraps=46
node=1090/7814 op=repeat seconds=80.5231 eta_seconds=496.731 bootstraps=46
node=1100/7814 op=addp seconds=80.7399 eta_seconds=492.807 bootstraps=46
node=1110/7814 op=mul seconds=81.2848 eta_seconds=490.931 bootstraps=46
node=1120/7814 op=cheb seconds=82.8874 eta_seconds=495.4 bootstraps=48
node=1130/7814 op=mulp seconds=83.2752 eta_seconds=492.576 bootstraps=48
node=1140/7814 op=mulp seconds=83.6144 eta_seconds=489.511 bootstraps=48
node=1150/7814 op=sum seconds=84.0201 eta_seconds=486.878 bootstraps=48
node=1160/7814 op=add seconds=84.399 eta_seconds=484.13 bootstraps=48
node=1170/7814 op=mulp seconds=85.7658 eta_seconds=487.032 bootstraps=50
node=1180/7814 op=cheb seconds=86.3428 eta_seconds=485.422 bootstraps=50
node=1190/7814 op=mulp seconds=86.3934 eta_seconds=480.899 bootstraps=50
node=1200/7814 op=cheb seconds=88.6264 eta_seconds=488.479 bootstraps=52
node=1210/7814 op=mul seconds=89.0859 eta_seconds=486.218 bootstraps=52
node=1220/7814 op=gather seconds=89.4041 eta_seconds=483.222 bootstraps=52
node=1230/7814 op=scatter seconds=89.6687 eta_seconds=479.983 bootstraps=52
node=1240/7814 op=gather seconds=89.9703 eta_seconds=476.988 bootstraps=52
node=1250/7814 op=sum seconds=90.7481 eta_seconds=476.536 bootstraps=52
node=1260/7814 op=add seconds=92.3069 eta_seconds=480.142 bootstraps=54
node=1270/7814 op=linear seconds=92.9387 eta_seconds=478.891 bootstraps=54
node=1280/7814 op=mulp seconds=93.1501 eta_seconds=475.502 bootstraps=54
node=1290/7814 op=addp seconds=93.7013 eta_seconds=473.882 bootstraps=54
node=1300/7814 op=mulp seconds=93.7868 eta_seconds=469.944 bootstraps=54
node=1310/7814 op=cheb seconds=96.2587 eta_seconds=477.914 bootstraps=56
node=1320/7814 op=cheb seconds=96.948 eta_seconds=476.955 bootstraps=56
node=1330/7814 op=repeat seconds=97.1823 eta_seconds=473.782 bootstraps=56
node=1340/7814 op=add seconds=97.4009 eta_seconds=470.577 bootstraps=56
node=1350/7814 op=mul seconds=97.7693 eta_seconds=468.134 bootstraps=56
node=1360/7814 op=add seconds=97.9477 eta_seconds=464.819 bootstraps=56
node=1370/7814 op=addp seconds=99.6888 eta_seconds=468.901 bootstraps=58
node=1380/7814 op=add seconds=100.287 eta_seconds=467.571 bootstraps=58
node=1390/7814 op=repeat seconds=100.835 eta_seconds=466.02 bootstraps=58
node=1400/7814 op=addp seconds=101.142 eta_seconds=463.376 bootstraps=58
node=1410/7814 op=gather seconds=102.738 eta_seconds=466.62 bootstraps=60
node=1420/7814 op=sum seconds=102.847 eta_seconds=463.103 bootstraps=60
node=1430/7814 op=gather seconds=103.522 eta_seconds=462.156 bootstraps=60
node=1440/7814 op=cheb seconds=105.602 eta_seconds=467.437 bootstraps=62
node=1450/7814 op=repeat seconds=105.792 eta_seconds=464.316 bootstraps=62
node=1460/7814 op=mul seconds=106.545 eta_seconds=463.69 bootstraps=62
node=1470/7814 op=addp seconds=107.252 eta_seconds=462.862 bootstraps=62
node=1480/7814 op=add seconds=108.55 eta_seconds=464.566 bootstraps=64
node=1490/7814 op=scatter seconds=108.755 eta_seconds=461.589 bootstraps=64
node=1500/7814 op=add seconds=109.127 eta_seconds=459.353 bootstraps=64
node=1510/7814 op=gather seconds=109.814 eta_seconds=458.455 bootstraps=64
node=1520/7814 op=addp seconds=109.927 eta_seconds=455.183 bootstraps=64
node=1530/7814 op=sum seconds=111.735 eta_seconds=458.915 bootstraps=66
node=1540/7814 op=cheb seconds=112.74 eta_seconds=459.308 bootstraps=66
node=1550/7814 op=cheb seconds=113.368 eta_seconds=458.155 bootstraps=66
node=1560/7814 op=repeat seconds=113.691 eta_seconds=455.785 bootstraps=66
node=1570/7814 op=gather seconds=114.394 eta_seconds=454.953 bootstraps=66
node=1580/7814 op=add seconds=116.334 eta_seconds=459.003 bootstraps=68
node=1590/7814 op=mul seconds=116.38 eta_seconds=455.566 bootstraps=68
node=1600/7814 op=mulp seconds=116.723 eta_seconds=453.322 bootstraps=68
node=1610/7814 op=mul seconds=116.99 eta_seconds=450.812 bootstraps=68
node=1620/7814 op=sum seconds=117.294 eta_seconds=448.468 bootstraps=68
node=1630/7814 op=linear seconds=118.867 eta_seconds=450.964 bootstraps=70
node=1640/7814 op=cheb seconds=119.033 eta_seconds=448.114 bootstraps=70
node=1650/7814 op=mulp seconds=119.176 eta_seconds=445.214 bootstraps=70
node=1660/7814 op=repeat seconds=119.878 eta_seconds=444.417 bootstraps=70
node=1670/7814 op=add seconds=121.638 eta_seconds=447.512 bootstraps=72
node=1680/7814 op=mulp seconds=122.011 eta_seconds=445.487 bootstraps=72
node=1690/7814 op=add seconds=122.219 eta_seconds=442.882 bootstraps=72
node=1700/7814 op=mulp seconds=122.519 eta_seconds=440.637 bootstraps=72
node=1710/7814 op=linear_ref seconds=123.203 eta_seconds=439.786 bootstraps=72
node=1720/7814 op=scatter seconds=124.589 eta_seconds=441.421 bootstraps=74
node=1730/7814 op=repeat seconds=125.139 eta_seconds=440.085 bootstraps=74
node=1740/7814 op=addp seconds=125.445 eta_seconds=437.904 bootstraps=74
node=1750/7814 op=gather seconds=126.124 eta_seconds=437.037 bootstraps=74
node=1760/7814 op=mulp seconds=126.375 eta_seconds=434.703 bootstraps=74
node=1770/7814 op=cheb seconds=127.861 eta_seconds=436.605 bootstraps=76
node=1780/7814 op=cheb seconds=129.557 eta_seconds=439.185 bootstraps=76
node=1790/7814 op=mulp seconds=129.805 eta_seconds=436.841 bootstraps=76
node=1800/7814 op=gather seconds=130.164 eta_seconds=434.893 bootstraps=76
node=1810/7814 op=gather seconds=130.385 eta_seconds=432.503 bootstraps=76
node=1820/7814 op=scatter seconds=130.599 eta_seconds=430.114 bootstraps=76
node=1830/7814 op=mulp seconds=132.224 eta_seconds=432.364 bootstraps=78
node=1840/7814 op=scatter seconds=132.859 eta_seconds=431.359 bootstraps=78
node=1850/7814 op=add seconds=133.171 eta_seconds=429.316 bootstraps=78
node=1860/7814 op=mul seconds=133.675 eta_seconds=427.904 bootstraps=78
node=1870/7814 op=gather seconds=135.244 eta_seconds=429.886 bootstraps=80
node=1880/7814 op=cheb seconds=135.493 eta_seconds=427.667 bootstraps=80
node=1890/7814 op=mulp seconds=135.562 eta_seconds=424.904 bootstraps=80
node=1900/7814 op=mulp seconds=137.502 eta_seconds=427.992 bootstraps=82
node=1910/7814 op=mul seconds=137.933 eta_seconds=426.365 bootstraps=82
node=1920/7814 op=mulp seconds=138.143 eta_seconds=424.071 bootstraps=82
node=1930/7814 op=mul seconds=138.445 eta_seconds=422.076 bootstraps=82
node=1940/7814 op=cheb seconds=138.976 eta_seconds=420.795 bootstraps=82
node=1950/7814 op=scatter seconds=140.57 eta_seconds=422.72 bootstraps=84
node=1960/7814 op=sum seconds=141.076 eta_seconds=421.356 bootstraps=84
node=1970/7814 op=sum seconds=141.516 eta_seconds=419.806 bootstraps=84
node=1980/7814 op=gather seconds=142.177 eta_seconds=418.919 bootstraps=84
node=1990/7814 op=repeat seconds=142.431 eta_seconds=416.843 bootstraps=84
node=2000/7814 op=addp seconds=142.493 eta_seconds=414.226 bootstraps=84
node=2010/7814 op=mul seconds=145.264 eta_seconds=419.46 bootstraps=86
node=2020/7814 op=mulp seconds=145.768 eta_seconds=418.108 bootstraps=86
node=2030/7814 op=gather seconds=146.084 eta_seconds=416.232 bootstraps=86
node=2040/7814 op=gather seconds=146.307 eta_seconds=414.107 bootstraps=86
node=2050/7814 op=scatter seconds=146.524 eta_seconds=411.983 bootstraps=86
node=2060/7814 op=sum seconds=148.354 eta_seconds=414.382 bootstraps=88
node=2070/7814 op=scatter seconds=148.969 eta_seconds=413.372 bootstraps=88
node=2080/7814 op=repeat seconds=149.339 eta_seconds=411.686 bootstraps=88
node=2090/7814 op=linear_ref seconds=149.845 eta_seconds=410.388 bootstraps=88
node=2100/7814 op=mulp seconds=150.958 eta_seconds=410.748 bootstraps=90
node=2110/7814 op=mul seconds=151.5 eta_seconds=409.552 bootstraps=90
node=2120/7814 op=repeat seconds=151.681 eta_seconds=407.392 bootstraps=90
node=2130/7814 op=repeat seconds=154.087 eta_seconds=411.189 bootstraps=92
node=2140/7814 op=cheb seconds=154.607 eta_seconds=409.927 bootstraps=92
node=2150/7814 op=gather seconds=154.958 eta_seconds=408.224 bootstraps=92
node=2160/7814 op=linear_ref seconds=156.054 eta_seconds=408.485 bootstraps=92
node=2170/7814 op=add seconds=157.182 eta_seconds=408.819 bootstraps=94
node=2180/7814 op=mul seconds=157.564 eta_seconds=407.208 bootstraps=94
node=2190/7814 op=add seconds=157.829 eta_seconds=405.311 bootstraps=94
node=2200/7814 op=mul seconds=158.39 eta_seconds=404.184 bootstraps=94
node=2210/7814 op=gather seconds=159.075 eta_seconds=403.373 bootstraps=94
node=2220/7814 op=sum seconds=159.162 eta_seconds=401.061 bootstraps=94
node=2230/7814 op=mul seconds=160.632 eta_seconds=402.229 bootstraps=96
node=2240/7814 op=repeat seconds=163.119 eta_seconds=405.905 bootstraps=96
node=2250/7814 op=mulp seconds=163.579 eta_seconds=404.513 bootstraps=96
node=2260/7814 op=gather seconds=164.04 eta_seconds=403.133 bootstraps=96
node=2270/7814 op=mul seconds=164.533 eta_seconds=401.837 bootstraps=96
node=2280/7814 op=addp seconds=166.529 eta_seconds=404.197 bootstraps=98
node=2290/7814 op=scatter seconds=166.871 eta_seconds=402.531 bootstraps=98
node=2300/7814 op=add seconds=166.98 eta_seconds=400.316 bootstraps=98
node=2310/7814 op=sum seconds=167.39 eta_seconds=398.837 bootstraps=98
node=2320/7814 op=add seconds=167.77 eta_seconds=397.296 bootstraps=98
node=2330/7814 op=mulp seconds=169.149 eta_seconds=398.118 bootstraps=100
node=2340/7814 op=cheb seconds=169.726 eta_seconds=397.044 bootstraps=100
node=2350/7814 op=mulp seconds=169.777 eta_seconds=394.749 bootstraps=100
node=2360/7814 op=cheb seconds=172.088 eta_seconds=397.699 bootstraps=102
node=2370/7814 op=mul seconds=172.537 eta_seconds=396.325 bootstraps=102
node=2380/7814 op=gather seconds=172.813 eta_seconds=394.565 bootstraps=102
node=2390/7814 op=cheb seconds=173.777 eta_seconds=394.378 bootstraps=102
node=2400/7814 op=mul seconds=175.201 eta_seconds=395.224 bootstraps=104
node=2410/7814 op=add seconds=175.538 eta_seconds=393.613 bootstraps=104
node=2420/7814 op=add seconds=175.744 eta_seconds=391.721 bootstraps=104
node=2430/7814 op=cheb seconds=176.155 eta_seconds=390.296 bootstraps=104
node=2440/7814 op=gather seconds=176.735 eta_seconds=389.252 bootstraps=104
node=2450/7814 op=sum seconds=176.843 eta_seconds=387.179 bootstraps=104
node=2460/7814 op=addp seconds=178.645 eta_seconds=388.808 bootstraps=106
node=2470/7814 op=cheb seconds=179.69 eta_seconds=388.77 bootstraps=106
node=2480/7814 op=cheb seconds=180.47 eta_seconds=388.156 bootstraps=106
node=2490/7814 op=repeat seconds=180.663 eta_seconds=386.285 bootstraps=106
node=2500/7814 op=mulp seconds=181.413 eta_seconds=385.61 bootstraps=106
node=2510/7814 op=scatter seconds=183.277 eta_seconds=387.292 bootstraps=108
node=2520/7814 op=add seconds=183.327 eta_seconds=385.132 bootstraps=108
node=2530/7814 op=mul seconds=183.67 eta_seconds=383.602 bootstraps=108
node=2540/7814 op=add seconds=183.933 eta_seconds=381.915 bootstraps=108
node=2550/7814 op=repeat seconds=184.295 eta_seconds=380.443 bootstraps=108
node=2560/7814 op=gather seconds=185.839 eta_seconds=381.406 bootstraps=110
node=2570/7814 op=mulp seconds=185.949 eta_seconds=379.424 bootstraps=110
node=2580/7814 op=scatter seconds=186.461 eta_seconds=378.271 bootstraps=110
node=2590/7814 op=gather seconds=186.991 eta_seconds=377.159 bootstraps=110
node=2600/7814 op=cheb seconds=189.013 eta_seconds=379.043 bootstraps=112
node=2610/7814 op=repeat seconds=189.212 eta_seconds=377.264 bootstraps=112
node=2620/7814 op=add seconds=189.43 eta_seconds=375.535 bootstraps=112
node=2630/7814 op=mul seconds=189.813 eta_seconds=374.141 bootstraps=112
node=2640/7814 op=mul seconds=190.662 eta_seconds=373.668 bootstraps=112
node=2650/7814 op=scatter seconds=192.115 eta_seconds=374.371 bootstraps=114
node=2660/7814 op=add seconds=192.496 eta_seconds=372.979 bootstraps=114
node=2670/7814 op=gather seconds=193.179 eta_seconds=372.177 bootstraps=114
node=2680/7814 op=addp seconds=193.292 eta_seconds=370.284 bootstraps=114
node=2690/7814 op=sum seconds=195.105 eta_seconds=371.642 bootstraps=116
node=2700/7814 op=cheb seconds=196.115 eta_seconds=371.457 bootstraps=116
node=2710/7814 op=cheb seconds=196.683 eta_seconds=370.431 bootstraps=116
node=2720/7814 op=repeat seconds=197.007 eta_seconds=368.953 bootstraps=116
node=2730/7814 op=mul seconds=197.252 eta_seconds=367.336 bootstraps=116
node=2740/7814 op=add seconds=197.633 eta_seconds=365.982 bootstraps=116
node=2750/7814 op=cheb seconds=197.945 eta_seconds=364.506 bootstraps=116
node=2760/7814 op=scatter seconds=199.82 eta_seconds=365.903 bootstraps=118
node=2770/7814 op=mul seconds=200.304 eta_seconds=364.741 bootstraps=118
node=2780/7814 op=sum seconds=200.606 eta_seconds=363.255 bootstraps=118
node=2790/7814 op=linear_ref seconds=202.213 eta_seconds=364.127 bootstraps=120
node=2800/7814 op=mulp seconds=202.4 eta_seconds=362.44 bootstraps=120
node=2810/7814 op=sum seconds=204.263 eta_seconds=363.749 bootstraps=122
client_token=315 logit_margin=1.89749
node=2820/7814 op=sum seconds=205.624 eta_seconds=364.144 bootstraps=124
node=2830/7814 op=gather seconds=206.903 eta_seconds=364.383 bootstraps=124
node=2840/7814 op=cheb seconds=208.34 eta_seconds=364.888 bootstraps=124
node=2850/7814 op=mul seconds=209.201 eta_seconds=364.376 bootstraps=124
node=2860/7814 op=mulp seconds=209.554 eta_seconds=362.982 bootstraps=124
node=2870/7814 op=gather seconds=209.979 eta_seconds=361.721 bootstraps=124
node=2880/7814 op=scatter seconds=210.22 eta_seconds=360.147 bootstraps=124
node=2890/7814 op=mul seconds=210.609 eta_seconds=358.836 bootstraps=124
node=2900/7814 op=mul seconds=210.913 eta_seconds=357.389 bootstraps=124
node=2910/7814 op=scatter seconds=212.176 eta_seconds=357.564 bootstraps=126
node=2920/7814 op=mul seconds=212.483 eta_seconds=356.127 bootstraps=126
node=2930/7814 op=mul seconds=212.697 eta_seconds=354.543 bootstraps=126
node=2940/7814 op=mul seconds=214.217 eta_seconds=355.134 bootstraps=128
node=2950/7814 op=scatter seconds=215.893 eta_seconds=355.967 bootstraps=130
node=2960/7814 op=gather seconds=217.364 eta_seconds=356.448 bootstraps=132
node=2970/7814 op=mulp seconds=217.425 eta_seconds=354.616 bootstraps=132
node=2980/7814 op=cheb seconds=219.34 eta_seconds=355.802 bootstraps=134
node=2990/7814 op=cheb seconds=220.067 eta_seconds=355.052 bootstraps=134
node=3000/7814 op=repeat seconds=220.299 eta_seconds=353.507 bootstraps=134
node=3010/7814 op=add seconds=220.503 eta_seconds=351.925 bootstraps=134
node=3020/7814 op=mul seconds=220.863 eta_seconds=350.602 bootstraps=134
node=3030/7814 op=scatter seconds=222.454 eta_seconds=351.227 bootstraps=136
node=3040/7814 op=mul seconds=222.812 eta_seconds=349.904 bootstraps=136
node=3050/7814 op=sum seconds=223.204 eta_seconds=348.637 bootstraps=136
node=3060/7814 op=add seconds=223.589 eta_seconds=347.367 bootstraps=136
node=3070/7814 op=repeat seconds=224.958 eta_seconds=347.622 bootstraps=138
node=3080/7814 op=mul seconds=226.731 eta_seconds=348.488 bootstraps=140
node=3090/7814 op=gather seconds=228.263 eta_seconds=348.969 bootstraps=142
node=3100/7814 op=mul seconds=228.374 eta_seconds=347.275 bootstraps=142
node=3110/7814 op=mul seconds=230.548 eta_seconds=348.713 bootstraps=144
node=3120/7814 op=cheb seconds=231.23 eta_seconds=347.883 bootstraps=144
node=3130/7814 op=repeat seconds=231.464 eta_seconds=346.383 bootstraps=144
node=3140/7814 op=add seconds=231.684 eta_seconds=344.87 bootstraps=144
node=3150/7814 op=mul seconds=232.054 eta_seconds=343.587 bootstraps=144
node=3160/7814 op=scatter seconds=233.61 eta_seconds=344.057 bootstraps=146
node=3170/7814 op=mul seconds=234.086 eta_seconds=342.932 bootstraps=146
node=3180/7814 op=mul seconds=234.365 eta_seconds=341.524 bootstraps=146
node=3190/7814 op=mul seconds=234.864 eta_seconds=340.442 bootstraps=146
node=3200/7814 op=cheb seconds=236.126 eta_seconds=340.464 bootstraps=148
node=3210/7814 op=add seconds=237.927 eta_seconds=341.251 bootstraps=150
node=3220/7814 op=linear_ref seconds=239.334 eta_seconds=341.46 bootstraps=152
node=3230/7814 op=mul seconds=239.386 eta_seconds=339.736 bootstraps=152
node=3240/7814 op=cheb seconds=241.276 eta_seconds=340.616 bootstraps=154
node=3250/7814 op=cheb seconds=241.797 eta_seconds=339.557 bootstraps=154
node=3260/7814 op=repeat seconds=242.119 eta_seconds=338.223 bootstraps=154
node=3270/7814 op=mul seconds=242.36 eta_seconds=336.785 bootstraps=154
node=3280/7814 op=add seconds=242.742 eta_seconds=335.547 bootstraps=154
node=3290/7814 op=mul seconds=242.929 eta_seconds=334.046 bootstraps=154
node=3300/7814 op=scatter seconds=244.511 eta_seconds=334.462 bootstraps=156
node=3310/7814 op=add seconds=244.89 eta_seconds=333.228 bootstraps=156
node=3320/7814 op=repeat seconds=245.188 eta_seconds=331.89 bootstraps=156
node=3330/7814 op=addp seconds=246.515 eta_seconds=331.944 bootstraps=158
node=3340/7814 op=linear_ref seconds=249.219 eta_seconds=333.834 bootstraps=162
node=3350/7814 op=mulp seconds=250.242 eta_seconds=333.457 bootstraps=164
node=3360/7814 op=addp seconds=250.665 eta_seconds=332.281 bootstraps=164
node=3370/7814 op=cheb seconds=252.092 eta_seconds=332.432 bootstraps=166
node=3380/7814 op=cheb seconds=253.509 eta_seconds=332.562 bootstraps=166
node=3390/7814 op=repeat seconds=253.937 eta_seconds=331.392 bootstraps=166
node=3400/7814 op=gather seconds=254.411 eta_seconds=330.285 bootstraps=166
node=3410/7814 op=cheb seconds=254.81 eta_seconds=329.087 bootstraps=166
node=3420/7814 op=scatter seconds=256.499 eta_seconds=329.549 bootstraps=168
node=3430/7814 op=scatter seconds=256.762 eta_seconds=328.176 bootstraps=168
node=3440/7814 op=mul seconds=257.06 eta_seconds=326.854 bootstraps=168
node=3450/7814 op=mul seconds=257.405 eta_seconds=325.599 bootstraps=168
node=3460/7814 op=mulp seconds=258.672 eta_seconds=325.508 bootstraps=170
