GPU 0: NVIDIA GB10
 SMs: 48, SharedMem: 100 KB, Blocks/SM: 24, Threads/SM: 1536, L2 size: 24 MB, Bus: 256-bit
Adding bootstrap precomputation to GPU for 32768 slots.
Plaintexts loaded: 248 ~ 4960MB
node=2500/7814 op=mulp seconds=181.73 eta_seconds=386.286 bootstraps=106
node=2510/7814 op=scatter seconds=183.593 eta_seconds=387.959 bootstraps=108
node=2520/7814 op=add seconds=183.644 eta_seconds=385.798 bootstraps=108
node=2530/7814 op=mul seconds=183.986 eta_seconds=384.263 bootstraps=108
node=2540/7814 op=add seconds=184.252 eta_seconds=382.578 bootstraps=108
node=2550/7814 op=repeat seconds=184.618 eta_seconds=381.109 bootstraps=108
node=2560/7814 op=gather seconds=186.17 eta_seconds=382.084 bootstraps=110
node=2570/7814 op=mulp seconds=186.282 eta_seconds=380.102 bootstraps=110
node=2580/7814 op=scatter seconds=186.798 eta_seconds=378.954 bootstraps=110
node=2590/7814 op=gather seconds=187.334 eta_seconds=377.85 bootstraps=110
node=2600/7814 op=cheb seconds=189.369 eta_seconds=379.758 bootstraps=112
node=2610/7814 op=repeat seconds=189.563 eta_seconds=377.965 bootstraps=112
node=2620/7814 op=add seconds=189.784 eta_seconds=376.235 bootstraps=112
node=2630/7814 op=mul seconds=190.173 eta_seconds=374.85 bootstraps=112
node=2640/7814 op=mul seconds=191.027 eta_seconds=374.383 bootstraps=112
node=2650/7814 op=scatter seconds=192.479 eta_seconds=375.08 bootstraps=114
node=2660/7814 op=add seconds=192.861 eta_seconds=373.687 bootstraps=114
node=2670/7814 op=gather seconds=193.553 eta_seconds=372.898 bootstraps=114
node=2680/7814 op=addp seconds=193.666 eta_seconds=371 bootstraps=114
node=2690/7814 op=sum seconds=195.478 eta_seconds=372.354 bootstraps=116
node=2700/7814 op=cheb seconds=196.493 eta_seconds=372.172 bootstraps=116
node=2710/7814 op=cheb seconds=197.06 eta_seconds=371.142 bootstraps=116
node=2720/7814 op=repeat seconds=197.385 eta_seconds=369.661 bootstraps=116
node=2730/7814 op=mul seconds=197.629 eta_seconds=368.039 bootstraps=116
node=2740/7814 op=add seconds=198.014 eta_seconds=366.687 bootstraps=116
node=2750/7814 op=cheb seconds=198.327 eta_seconds=365.21 bootstraps=116
node=2760/7814 op=scatter seconds=200.212 eta_seconds=366.619 bootstraps=118
node=2770/7814 op=mul seconds=200.693 eta_seconds=365.45 bootstraps=118
node=2780/7814 op=sum seconds=201.001 eta_seconds=363.97 bootstraps=118
node=2790/7814 op=linear_ref seconds=202.609 eta_seconds=364.841 bootstraps=120
node=2800/7814 op=mulp seconds=202.797 eta_seconds=363.151 bootstraps=120
node=2810/7814 op=sum seconds=204.67 eta_seconds=364.473 bootstraps=122
client_token=315 logit_margin=1.89749
node=2820/7814 op=sum seconds=206.025 eta_seconds=364.855 bootstraps=124
node=2830/7814 op=gather seconds=207.303 eta_seconds=365.088 bootstraps=124
node=2840/7814 op=cheb seconds=208.751 eta_seconds=365.609 bootstraps=124
node=2850/7814 op=mul seconds=209.617 eta_seconds=365.102 bootstraps=124
node=2860/7814 op=mulp seconds=209.969 eta_seconds=363.702 bootstraps=124
node=2870/7814 op=gather seconds=210.396 eta_seconds=362.439 bootstraps=124
node=2880/7814 op=scatter seconds=210.641 eta_seconds=360.869 bootstraps=124
node=2890/7814 op=mul seconds=211.035 eta_seconds=359.563 bootstraps=124
node=2900/7814 op=mul seconds=211.34 eta_seconds=358.112 bootstraps=124
node=2910/7814 op=scatter seconds=212.596 eta_seconds=358.272 bootstraps=126
node=2920/7814 op=mul seconds=212.903 eta_seconds=356.832 bootstraps=126
node=2930/7814 op=mul seconds=213.12 eta_seconds=355.248 bootstraps=126
node=2940/7814 op=mul seconds=214.637 eta_seconds=355.831 bootstraps=128
node=2950/7814 op=scatter seconds=216.314 eta_seconds=356.662 bootstraps=130
node=2960/7814 op=gather seconds=217.791 eta_seconds=357.147 bootstraps=132
node=2970/7814 op=mulp seconds=217.851 eta_seconds=355.31 bootstraps=132
node=2980/7814 op=cheb seconds=219.774 eta_seconds=356.506 bootstraps=134
node=2990/7814 op=cheb seconds=220.497 eta_seconds=355.745 bootstraps=134
node=3000/7814 op=repeat seconds=220.727 eta_seconds=354.193 bootstraps=134
node=3010/7814 op=add seconds=220.932 eta_seconds=352.61 bootstraps=134
node=3020/7814 op=mul seconds=221.293 eta_seconds=351.284 bootstraps=134
node=3030/7814 op=scatter seconds=222.887 eta_seconds=351.911 bootstraps=136
node=3040/7814 op=mul seconds=223.249 eta_seconds=350.59 bootstraps=136
node=3050/7814 op=sum seconds=223.641 eta_seconds=349.32 bootstraps=136
node=3060/7814 op=add seconds=224.028 eta_seconds=348.048 bootstraps=136
node=3070/7814 op=repeat seconds=225.398 eta_seconds=348.302 bootstraps=138
node=3080/7814 op=mul seconds=227.176 eta_seconds=349.172 bootstraps=140
node=3090/7814 op=gather seconds=228.699 eta_seconds=349.635 bootstraps=142
node=3100/7814 op=mul seconds=228.811 eta_seconds=347.941 bootstraps=142
node=3110/7814 op=mul seconds=230.986 eta_seconds=349.376 bootstraps=144
node=3120/7814 op=cheb seconds=231.664 eta_seconds=348.535 bootstraps=144
node=3130/7814 op=repeat seconds=231.898 eta_seconds=347.031 bootstraps=144
node=3140/7814 op=add seconds=232.12 eta_seconds=345.518 bootstraps=144
node=3150/7814 op=mul seconds=232.494 eta_seconds=344.238 bootstraps=144
node=3160/7814 op=scatter seconds=234.054 eta_seconds=344.712 bootstraps=146
node=3170/7814 op=mul seconds=234.536 eta_seconds=343.591 bootstraps=146
node=3180/7814 op=mul seconds=234.815 eta_seconds=342.18 bootstraps=146
node=3190/7814 op=mul seconds=235.317 eta_seconds=341.1 bootstraps=146
node=3200/7814 op=cheb seconds=236.58 eta_seconds=341.118 bootstraps=148
node=3210/7814 op=add seconds=238.39 eta_seconds=341.915 bootstraps=150
node=3220/7814 op=linear_ref seconds=239.792 eta_seconds=342.113 bootstraps=152
node=3230/7814 op=mul seconds=239.843 eta_seconds=340.384 bootstraps=152
node=3240/7814 op=cheb seconds=241.734 eta_seconds=341.263 bootstraps=154
node=3250/7814 op=cheb seconds=242.259 eta_seconds=340.206 bootstraps=154
node=3260/7814 op=repeat seconds=242.584 eta_seconds=338.873 bootstraps=154
node=3270/7814 op=mul seconds=242.831 eta_seconds=337.439 bootstraps=154
node=3280/7814 op=add seconds=243.215 eta_seconds=336.201 bootstraps=154
node=3290/7814 op=mul seconds=243.403 eta_seconds=334.698 bootstraps=154
node=3300/7814 op=scatter seconds=244.987 eta_seconds=335.112 bootstraps=156
node=3310/7814 op=add seconds=245.368 eta_seconds=333.879 bootstraps=156
node=3320/7814 op=repeat seconds=245.668 eta_seconds=332.539 bootstraps=156
node=3330/7814 op=addp seconds=246.993 eta_seconds=332.587 bootstraps=158
node=3340/7814 op=linear_ref seconds=249.695 eta_seconds=334.471 bootstraps=162
node=3350/7814 op=mulp seconds=250.714 eta_seconds=334.086 bootstraps=164
node=3360/7814 op=addp seconds=251.138 eta_seconds=332.908 bootstraps=164
node=3370/7814 op=cheb seconds=252.556 eta_seconds=333.044 bootstraps=166
node=3380/7814 op=cheb seconds=253.977 eta_seconds=333.175 bootstraps=166
node=3390/7814 op=repeat seconds=254.411 eta_seconds=332.01 bootstraps=166
node=3400/7814 op=gather seconds=254.889 eta_seconds=330.906 bootstraps=166
node=3410/7814 op=cheb seconds=255.293 eta_seconds=329.709 bootstraps=166
node=3420/7814 op=scatter seconds=256.985 eta_seconds=330.173 bootstraps=168
node=3430/7814 op=scatter seconds=257.249 eta_seconds=328.798 bootstraps=168
node=3440/7814 op=mul seconds=257.548 eta_seconds=327.475 bootstraps=168
node=3450/7814 op=mul seconds=257.893 eta_seconds=326.215 bootstraps=168
node=3460/7814 op=mulp seconds=259.156 eta_seconds=326.117 bootstraps=170
node=3470/7814 op=mul seconds=260.784 eta_seconds=326.468 bootstraps=172
